datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-20T12:41:29.619105,0.1,1.0,True,img_0,img_0,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_36,Defective: defective_17
2025-11-20T12:41:29.619105,0.1,1.0,True,img_1,img_1,Nominal,Nominal,1,0.8,0.2,Nominal: nominal_6,Defective: defective_44
2025-11-20T12:41:29.619105,0.1,1.0,True,img_2,img_2,Defective,Defective,1,0.0,1.0,Nominal: nominal_3,Defective: defective_3
2025-11-20T12:41:29.619105,0.1,1.0,True,img_3,img_3,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_46,Defective: defective_48
2025-11-20T12:41:29.620113,0.1,1.0,True,img_4,img_4,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_49,Defective: defective_8
2025-11-20T12:41:29.620113,0.1,1.0,True,img_5,img_5,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_44,Defective: defective_40
2025-11-20T12:41:29.620113,0.1,1.0,True,img_6,img_6,Defective,Nominal|Defective,2,0.333,0.667,Nominal: nominal_37,Defective: defective_2
2025-11-20T12:41:29.620113,0.1,1.0,True,img_7,img_7,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_47,Defective: defective_44
2025-11-20T12:41:29.620113,0.1,1.0,True,img_8,img_8,Nominal,Nominal|Defective,2,0.665,0.335,Nominal: nominal_44,Defective: defective_25
2025-11-20T12:41:29.620113,0.1,1.0,True,img_9,img_9,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_44,Defective: defective_25
2025-11-20T12:41:29.620113,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_22,Defective: defective_31
2025-11-20T12:41:29.620113,0.1,1.0,True,img_11,img_11,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_10,Defective: defective_17
2025-11-20T12:41:29.620113,0.1,1.0,True,img_12,img_12,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_27,Defective: defective_48
2025-11-20T12:41:29.620113,0.1,1.0,True,img_13,img_13,Nominal,Nominal|Defective,2,0.569,0.431,Nominal: nominal_47,Defective: defective_48
2025-11-20T12:41:29.620113,0.1,1.0,True,img_14,img_14,Defective,Nominal|Defective,2,0.333,0.667,Nominal: nominal_27,Defective: defective_48
2025-11-20T12:41:29.620113,0.1,1.0,True,img_15,img_15,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_32,Defective: defective_44
2025-11-20T12:41:29.620113,0.1,1.0,True,img_16,img_16,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_6,Defective: defective_6
2025-11-20T12:41:29.620113,0.1,1.0,True,img_17,img_17,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_10,Defective: defective_29
2025-11-20T12:41:29.620113,0.1,1.0,True,img_18,img_18,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_30,Defective: defective_20
2025-11-20T12:41:29.620113,0.1,1.0,True,img_19,img_19,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_34,Defective: defective_17
2025-11-20T12:41:29.620113,0.1,1.0,True,img_20,img_20,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_36,Defective: defective_31
2025-11-20T12:41:29.621114,0.1,1.0,True,img_21,img_21,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_12,Defective: defective_18
2025-11-20T12:41:29.621114,0.1,1.0,True,img_22,img_22,Nominal,Nominal,1,0.8,0.2,Nominal: nominal_34,Defective: defective_17
2025-11-20T12:41:29.621114,0.1,1.0,True,img_23,img_23,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_8,Defective: defective_15
2025-11-20T12:41:29.621114,0.1,1.0,True,img_24,img_24,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_1,Defective: defective_42
2025-11-20T12:41:29.621114,0.1,1.0,True,img_25,img_25,Defective,Nominal|Defective,2,0.259,0.741,Nominal: nominal_48,Defective: defective_40
2025-11-20T12:41:29.621114,0.1,1.0,True,img_26,img_26,Nominal,Nominal,1,0.8,0.2,Nominal: nominal_12,Defective: defective_44
2025-11-20T12:41:29.621114,0.1,1.0,True,img_27,img_27,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_27,Defective: defective_26
2025-11-20T12:41:29.621114,0.1,1.0,True,img_28,img_28,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_21,Defective: defective_17
2025-11-20T12:41:29.621114,0.1,1.0,True,img_29,img_29,Nominal,Nominal|Defective,2,0.714,0.286,Nominal: nominal_8,Defective: defective_46
2025-11-20T12:41:29.621114,0.1,1.0,True,img_30,img_30,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_11,Defective: defective_19
2025-11-20T12:41:29.621114,0.1,1.0,True,img_31,img_31,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_45,Defective: defective_10
2025-11-20T12:41:29.621114,0.1,1.0,True,img_32,img_32,Nominal,Nominal,1,0.8,0.2,Nominal: nominal_8,Defective: defective_1
2025-11-20T12:41:29.621114,0.1,1.0,True,img_33,img_33,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_43,Defective: defective_21
2025-11-20T12:41:29.621114,0.1,1.0,True,img_34,img_34,Nominal,Nominal,1,0.978,0.022,Nominal: nominal_43,Defective: defective_19
2025-11-20T12:41:29.621114,0.1,1.0,True,img_35,img_35,Nominal,Nominal,1,0.918,0.082,Nominal: nominal_5,Defective: defective_43
2025-11-20T12:41:29.621114,0.1,1.0,True,img_36,img_36,Nominal,Nominal,1,0.985,0.015,Nominal: nominal_23,Defective: defective_43
