datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-20T21:59:37.152236,0.1,1.0,True,img_0,img_0,Nominal,Nominal,1,0.577,0.423,Nominal: nominal_32,Defective: defective_23
2025-11-20T21:59:37.152236,0.1,1.0,True,img_1,img_1,Defective,Nominal|Defective,2,0.478,0.522,Nominal: nominal_39,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_2,img_2,Nominal,Nominal|Defective,2,0.509,0.491,Nominal: nominal_13,Defective: defective_38
2025-11-20T21:59:37.152236,0.1,1.0,True,img_3,img_3,Nominal,Nominal|Defective,2,0.52,0.48,Nominal: nominal_27,Defective: defective_44
2025-11-20T21:59:37.152236,0.1,1.0,True,img_4,img_4,Nominal,Nominal,1,0.565,0.435,Nominal: nominal_16,Defective: defective_48
2025-11-20T21:59:37.152236,0.1,1.0,True,img_5,img_5,Nominal,Nominal,1,0.563,0.437,Nominal: nominal_14,Defective: defective_44
2025-11-20T21:59:37.152236,0.1,1.0,True,img_6,img_6,Nominal,Nominal,1,0.57,0.43,Nominal: nominal_21,Defective: defective_18
2025-11-20T21:59:37.152236,0.1,1.0,True,img_7,img_7,Defective,Nominal|Defective,2,0.49,0.51,Nominal: nominal_27,Defective: defective_43
2025-11-20T21:59:37.152236,0.1,1.0,True,img_8,img_8,Nominal,Nominal,1,0.573,0.427,Nominal: nominal_22,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_9,img_9,Nominal,Nominal,1,0.585,0.415,Nominal: nominal_31,Defective: defective_38
2025-11-20T21:59:37.152236,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,0.698,0.302,Nominal: nominal_14,Defective: defective_1
2025-11-20T21:59:37.152236,0.1,1.0,True,img_11,img_11,Nominal,Nominal,1,0.56,0.44,Nominal: nominal_16,Defective: defective_24
2025-11-20T21:59:37.152236,0.1,1.0,True,img_12,img_12,Nominal,Nominal,1,0.553,0.447,Nominal: nominal_47,Defective: defective_44
2025-11-20T21:59:37.152236,0.1,1.0,True,img_13,img_13,Nominal,Nominal|Defective,2,0.504,0.496,Nominal: nominal_25,Defective: defective_24
2025-11-20T21:59:37.152236,0.1,1.0,True,img_14,img_14,Defective,Defective,1,0.376,0.624,Nominal: nominal_0,Defective: defective_13
2025-11-20T21:59:37.152236,0.1,1.0,True,img_15,img_15,Nominal,Nominal,1,0.576,0.424,Nominal: nominal_12,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_16,img_16,Defective,Defective,1,0.462,0.538,Nominal: nominal_12,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_17,img_17,Nominal,Nominal,1,0.581,0.419,Nominal: nominal_16,Defective: defective_24
2025-11-20T21:59:37.152236,0.1,1.0,True,img_18,img_18,Nominal,Nominal,1,0.557,0.443,Nominal: nominal_8,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_19,img_19,Nominal,Nominal,1,0.558,0.442,Nominal: nominal_9,Defective: defective_48
2025-11-20T21:59:37.152236,0.1,1.0,True,img_20,img_20,Nominal,Nominal|Defective,2,0.516,0.484,Nominal: nominal_34,Defective: defective_49
2025-11-20T21:59:37.152236,0.1,1.0,True,img_21,img_21,Nominal,Nominal|Defective,2,0.54,0.46,Nominal: nominal_40,Defective: defective_24
2025-11-20T21:59:37.152236,0.1,1.0,True,img_22,img_22,Nominal,Nominal|Defective,2,0.539,0.461,Nominal: nominal_10,Defective: defective_48
2025-11-20T21:59:37.152236,0.1,1.0,True,img_23,img_23,Nominal,Nominal,1,0.597,0.403,Nominal: nominal_22,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_24,img_24,Nominal,Nominal,1,0.578,0.422,Nominal: nominal_40,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_25,img_25,Nominal,Nominal,1,0.58,0.42,Nominal: nominal_14,Defective: defective_2
2025-11-20T21:59:37.152236,0.1,1.0,True,img_26,img_26,Nominal,Nominal,1,0.558,0.442,Nominal: nominal_15,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_27,img_27,Defective,Nominal|Defective,2,0.488,0.512,Nominal: nominal_27,Defective: defective_44
2025-11-20T21:59:37.152236,0.1,1.0,True,img_28,img_28,Defective,Nominal|Defective,2,0.494,0.506,Nominal: nominal_21,Defective: defective_24
2025-11-20T21:59:37.152236,0.1,1.0,True,img_29,img_29,Nominal,Nominal|Defective,2,0.534,0.466,Nominal: nominal_5,Defective: defective_11
2025-11-20T21:59:37.152236,0.1,1.0,True,img_30,img_30,Nominal,Nominal|Defective,2,0.512,0.488,Nominal: nominal_4,Defective: defective_23
2025-11-20T21:59:37.152236,0.1,1.0,True,img_31,img_31,Nominal,Nominal,1,0.595,0.405,Nominal: nominal_45,Defective: defective_32
2025-11-20T21:59:37.152236,0.1,1.0,True,img_32,img_32,Nominal,Nominal,1,0.578,0.422,Nominal: nominal_8,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_33,img_33,Nominal,Nominal,1,0.623,0.377,Nominal: nominal_43,Defective: defective_24
2025-11-20T21:59:37.152236,0.1,1.0,True,img_34,img_34,Nominal,Nominal,1,0.552,0.448,Nominal: nominal_0,Defective: defective_6
2025-11-20T21:59:37.152236,0.1,1.0,True,img_35,img_35,Nominal,Nominal,1,0.574,0.426,Nominal: nominal_12,Defective: defective_6
