datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-20T17:25:34.264313,0.1,1.0,False,img_0,img_0,Nominal,Nominal|Defective,2,0.504,0.496,Nominal: nominal_20,Defective: defective_46
2025-11-20T17:25:34.264313,0.1,1.0,False,img_1,img_1,Nominal,Nominal|Defective,2,0.509,0.491,Nominal: nominal_6,Defective: defective_44
2025-11-20T17:25:34.264313,0.1,1.0,False,img_2,img_2,Defective,Defective,1,0.48,0.52,Nominal: nominal_3,Defective: defective_7
2025-11-20T17:25:34.264313,0.1,1.0,False,img_3,img_3,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_27,Defective: defective_26
2025-11-20T17:25:34.264313,0.1,1.0,False,img_4,img_4,Nominal,Nominal|Defective,2,0.507,0.493,Nominal: nominal_10,Defective: defective_17
2025-11-20T17:25:34.264313,0.1,1.0,False,img_5,img_5,Nominal,Nominal,1,0.513,0.487,Nominal: nominal_24,Defective: defective_18
2025-11-20T17:25:34.264313,0.1,1.0,False,img_6,img_6,Defective,Nominal|Defective,2,0.497,0.503,Nominal: nominal_31,Defective: defective_10
2025-11-20T17:25:34.264313,0.1,1.0,False,img_7,img_7,Nominal,Nominal|Defective,2,0.503,0.497,Nominal: nominal_27,Defective: defective_26
2025-11-20T17:25:34.264313,0.1,1.0,False,img_8,img_8,Nominal,Nominal,1,0.519,0.481,Nominal: nominal_24,Defective: defective_15
2025-11-20T17:25:34.264313,0.1,1.0,False,img_9,img_9,Defective,Nominal|Defective,2,0.497,0.503,Nominal: nominal_24,Defective: defective_38
2025-11-20T17:25:34.264313,0.1,1.0,False,img_10,img_10,Nominal,Nominal,1,0.538,0.462,Nominal: nominal_14,Defective: defective_1
2025-11-20T17:25:34.264313,0.1,1.0,False,img_11,img_11,Nominal,Nominal,1,0.511,0.489,Nominal: nominal_16,Defective: defective_48
2025-11-20T17:25:34.264313,0.1,1.0,False,img_12,img_12,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_27,Defective: defective_26
2025-11-20T17:25:34.264313,0.1,1.0,False,img_13,img_13,Nominal,Nominal|Defective,2,0.506,0.494,Nominal: nominal_10,Defective: defective_20
2025-11-20T17:25:34.264313,0.1,1.0,False,img_14,img_14,Nominal,Nominal|Defective,2,0.503,0.497,Nominal: nominal_10,Defective: defective_20
2025-11-20T17:25:34.264313,0.1,1.0,False,img_15,img_15,Defective,Nominal|Defective,2,0.497,0.503,Nominal: nominal_7,Defective: defective_48
2025-11-20T17:25:34.264313,0.1,1.0,False,img_16,img_16,Nominal,Nominal,1,0.514,0.486,Nominal: nominal_19,Defective: defective_19
2025-11-20T17:25:34.264313,0.1,1.0,False,img_17,img_17,Nominal,Nominal|Defective,2,0.508,0.492,Nominal: nominal_10,Defective: defective_20
2025-11-20T17:25:34.264313,0.1,1.0,False,img_18,img_18,Nominal,Nominal|Defective,2,0.504,0.496,Nominal: nominal_8,Defective: defective_49
2025-11-20T17:25:34.264313,0.1,1.0,False,img_19,img_19,Defective,Nominal|Defective,2,0.498,0.502,Nominal: nominal_49,Defective: defective_18
2025-11-20T17:25:34.264313,0.1,1.0,False,img_20,img_20,Nominal,Nominal|Defective,2,0.503,0.497,Nominal: nominal_36,Defective: defective_49
2025-11-20T17:25:34.264313,0.1,1.0,False,img_21,img_21,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_20,Defective: defective_13
2025-11-20T17:25:34.264313,0.1,1.0,False,img_22,img_22,Nominal,Nominal,1,0.513,0.487,Nominal: nominal_34,Defective: defective_31
2025-11-20T17:25:34.264313,0.1,1.0,False,img_23,img_23,Nominal,Nominal,1,0.515,0.485,Nominal: nominal_8,Defective: defective_36
2025-11-20T17:25:34.264313,0.1,1.0,False,img_24,img_24,Nominal,Nominal|Defective,2,0.508,0.492,Nominal: nominal_1,Defective: defective_19
2025-11-20T17:25:34.264313,0.1,1.0,False,img_25,img_25,Nominal,Nominal,1,0.509,0.491,Nominal: nominal_15,Defective: defective_4
2025-11-20T17:25:34.264313,0.1,1.0,False,img_26,img_26,Nominal,Nominal,1,0.52,0.48,Nominal: nominal_12,Defective: defective_4
2025-11-20T17:25:34.264313,0.1,1.0,False,img_27,img_27,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_7,Defective: defective_26
2025-11-20T17:25:34.264313,0.1,1.0,False,img_28,img_28,Defective,Nominal|Defective,2,0.493,0.507,Nominal: nominal_4,Defective: defective_8
2025-11-20T17:25:34.264313,0.1,1.0,False,img_29,img_29,Nominal,Nominal,1,0.512,0.488,Nominal: nominal_40,Defective: defective_31
2025-11-20T17:25:34.264313,0.1,1.0,False,img_30,img_30,Nominal,Nominal|Defective,2,0.505,0.495,Nominal: nominal_28,Defective: defective_23
2025-11-20T17:25:34.264313,0.1,1.0,False,img_31,img_31,Defective,Nominal|Defective,2,0.495,0.505,Nominal: nominal_49,Defective: defective_39
2025-11-20T17:25:34.264313,0.1,1.0,False,img_32,img_32,Nominal,Nominal,1,0.518,0.482,Nominal: nominal_8,Defective: defective_18
2025-11-20T17:25:34.264313,0.1,1.0,False,img_33,img_33,Nominal,Nominal,1,0.533,0.467,Nominal: nominal_43,Defective: defective_37
2025-11-20T17:25:34.264313,0.1,1.0,False,img_34,img_34,Nominal,Nominal,1,0.535,0.465,Nominal: nominal_43,Defective: defective_1
2025-11-20T17:25:34.264313,0.1,1.0,False,img_35,img_35,Nominal,Nominal,1,0.518,0.482,Nominal: nominal_26,Defective: defective_44
2025-11-20T17:25:34.264313,0.1,1.0,False,img_36,img_36,Nominal,Nominal,1,0.521,0.479,Nominal: nominal_6,Defective: defective_44
2025-11-20T17:25:34.264313,0.1,1.0,False,img_37,img_37,Nominal,Nominal,1,0.514,0.486,Nominal: nominal_18,Defective: defective_1
2025-11-20T17:25:34.264313,0.1,1.0,False,img_38,img_38,Nominal,Nominal|Defective,2,0.504,0.496,Nominal: nominal_32,Defective: defective_44
2025-11-20T17:25:34.264313,0.1,1.0,False,img_39,img_39,Nominal,Nominal|Defective,2,0.505,0.495,Nominal: nominal_16,Defective: defective_31
2025-11-20T17:25:34.264313,0.1,1.0,False,img_40,img_40,Nominal,Nominal,1,0.521,0.479,Nominal: nominal_12,Defective: defective_4
2025-11-20T17:25:34.264313,0.1,1.0,False,img_41,img_41,Defective,Nominal|Defective,2,0.495,0.505,Nominal: nominal_31,Defective: defective_39
