datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-20T22:01:14.861757,0.1,1.0,True,img_0,img_0,Nominal,Nominal,1,0.523,0.477,Nominal: nominal_36,Defective: defective_29
2025-11-20T22:01:14.861757,0.1,1.0,True,img_1,img_1,Nominal,Nominal|Defective,2,0.503,0.497,Nominal: nominal_0,Defective: defective_6
2025-11-20T22:01:14.861757,0.1,1.0,True,img_2,img_2,Defective,Defective,1,0.479,0.521,Nominal: nominal_13,Defective: defective_3
2025-11-20T22:01:14.861757,0.1,1.0,True,img_3,img_3,Defective,Defective,1,0.49,0.51,Nominal: nominal_27,Defective: defective_26
2025-11-20T22:01:14.861757,0.1,1.0,True,img_4,img_4,Nominal,Nominal,1,0.516,0.484,Nominal: nominal_37,Defective: defective_29
2025-11-20T22:01:14.861757,0.1,1.0,True,img_5,img_5,Nominal,Nominal,1,0.513,0.487,Nominal: nominal_5,Defective: defective_6
2025-11-20T22:01:14.861757,0.1,1.0,True,img_6,img_6,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_34,Defective: defective_18
2025-11-20T22:01:14.861757,0.1,1.0,True,img_7,img_7,Defective,Nominal|Defective,2,0.494,0.506,Nominal: nominal_23,Defective: defective_26
2025-11-20T22:01:14.861757,0.1,1.0,True,img_8,img_8,Nominal,Nominal|Defective,2,0.506,0.494,Nominal: nominal_14,Defective: defective_23
2025-11-20T22:01:14.861757,0.1,1.0,True,img_9,img_9,Nominal,Nominal,1,0.514,0.486,Nominal: nominal_44,Defective: defective_19
2025-11-20T22:01:14.861757,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,0.532,0.468,Nominal: nominal_14,Defective: defective_18
2025-11-20T22:01:14.861757,0.1,1.0,True,img_11,img_11,Nominal,Nominal,1,0.518,0.482,Nominal: nominal_10,Defective: defective_44
2025-11-20T22:01:14.861757,0.1,1.0,True,img_12,img_12,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_27,Defective: defective_26
2025-11-20T22:01:14.861757,0.1,1.0,True,img_13,img_13,Nominal,Nominal,1,0.524,0.476,Nominal: nominal_46,Defective: defective_48
2025-11-20T22:01:14.861757,0.1,1.0,True,img_14,img_14,Nominal,Nominal|Defective,2,0.502,0.498,Nominal: nominal_6,Defective: defective_48
2025-11-20T22:01:14.861757,0.1,1.0,True,img_15,img_15,Nominal,Nominal,1,0.518,0.482,Nominal: nominal_7,Defective: defective_29
2025-11-20T22:01:14.861757,0.1,1.0,True,img_16,img_16,Nominal,Nominal,1,0.514,0.486,Nominal: nominal_40,Defective: defective_19
2025-11-20T22:01:14.861757,0.1,1.0,True,img_17,img_17,Nominal,Nominal,1,0.514,0.486,Nominal: nominal_37,Defective: defective_22
