datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-20T12:56:26.122428,0.1,1.0,False,img_0,img_0,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_4,Defective: defective_22
2025-11-20T12:56:26.122428,0.1,1.0,False,img_1,img_1,Defective,Nominal|Defective,2,0.348,0.652,Nominal: nominal_6,Defective: defective_48
2025-11-20T12:56:26.122428,0.1,1.0,False,img_2,img_2,Defective,Defective,1,0.222,0.778,Nominal: nominal_13,Defective: defective_7
2025-11-20T12:56:26.122428,0.1,1.0,False,img_3,img_3,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_27,Defective: defective_26
2025-11-20T12:56:26.122428,0.1,1.0,False,img_4,img_4,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_10,Defective: defective_2
2025-11-20T12:56:26.122428,0.1,1.0,False,img_5,img_5,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_44,Defective: defective_11
2025-11-20T12:56:26.122428,0.1,1.0,False,img_6,img_6,Nominal,Nominal|Defective,2,0.55,0.45,Nominal: nominal_34,Defective: defective_13
2025-11-20T12:56:26.122428,0.1,1.0,False,img_7,img_7,Defective,Nominal|Defective,2,0.444,0.556,Nominal: nominal_27,Defective: defective_26
2025-11-20T12:56:26.122428,0.1,1.0,False,img_8,img_8,Defective,Nominal|Defective,2,0.348,0.652,Nominal: nominal_44,Defective: defective_11
2025-11-20T12:56:26.122428,0.1,1.0,False,img_9,img_9,Defective,Defective,1,0.333,0.667,Nominal: nominal_38,Defective: defective_25
2025-11-20T12:56:26.122428,0.1,1.0,False,img_10,img_10,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_14,Defective: defective_10
2025-11-20T12:56:26.122428,0.1,1.0,False,img_11,img_11,Defective,Defective,1,0.222,0.778,Nominal: nominal_47,Defective: defective_48
2025-11-20T12:56:26.122428,0.1,1.0,False,img_12,img_12,Defective,Nominal|Defective,2,0.348,0.652,Nominal: nominal_27,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_13,img_13,Defective,Nominal|Defective,2,0.444,0.556,Nominal: nominal_46,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_14,img_14,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_21,Defective: defective_48
2025-11-20T12:56:26.122428,0.1,1.0,False,img_15,img_15,Defective,Defective,1,0.222,0.778,Nominal: nominal_7,Defective: defective_48
2025-11-20T12:56:26.122428,0.1,1.0,False,img_16,img_16,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_25,Defective: defective_6
2025-11-20T12:56:26.122428,0.1,1.0,False,img_17,img_17,Nominal,Nominal|Defective,2,0.607,0.393,Nominal: nominal_16,Defective: defective_29
2025-11-20T12:56:26.122428,0.1,1.0,False,img_18,img_18,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_8,Defective: defective_2
2025-11-20T12:56:26.122428,0.1,1.0,False,img_19,img_19,Nominal,Nominal,1,0.72,0.28,Nominal: nominal_37,Defective: defective_17
2025-11-20T12:56:26.122428,0.1,1.0,False,img_20,img_20,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_34,Defective: defective_31
2025-11-20T12:56:26.122428,0.1,1.0,False,img_21,img_21,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_40,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_22,img_22,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_10,Defective: defective_32
2025-11-20T12:56:26.122428,0.1,1.0,False,img_23,img_23,Defective,Defective,1,0.333,0.667,Nominal: nominal_22,Defective: defective_48
2025-11-20T12:56:26.122428,0.1,1.0,False,img_24,img_24,Defective,Defective,1,0.0,1.0,Nominal: nominal_13,Defective: defective_19
2025-11-20T12:56:26.122428,0.1,1.0,False,img_25,img_25,Defective,Nominal|Defective,2,0.396,0.604,Nominal: nominal_15,Defective: defective_40
2025-11-20T12:56:26.122428,0.1,1.0,False,img_26,img_26,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_12,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_27,img_27,Defective,Defective,1,0.222,0.778,Nominal: nominal_7,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_28,img_28,Defective,Defective,1,0.222,0.778,Nominal: nominal_28,Defective: defective_23
2025-11-20T12:56:26.122428,0.1,1.0,False,img_29,img_29,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_14,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_30,img_30,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_4,Defective: defective_10
2025-11-20T12:56:26.122428,0.1,1.0,False,img_31,img_31,Defective,Nominal|Defective,2,0.444,0.556,Nominal: nominal_42,Defective: defective_47
2025-11-20T12:56:26.122428,0.1,1.0,False,img_32,img_32,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_8,Defective: defective_2
2025-11-20T12:56:26.122428,0.1,1.0,False,img_33,img_33,Nominal,Nominal,1,0.976,0.024,Nominal: nominal_0,Defective: defective_37
2025-11-20T12:56:26.122428,0.1,1.0,False,img_34,img_34,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_0,Defective: defective_10
2025-11-20T12:56:26.122428,0.1,1.0,False,img_35,img_35,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_5,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_36,img_36,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_41,Defective: defective_29
2025-11-20T12:56:26.122428,0.1,1.0,False,img_37,img_37,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_13,Defective: defective_27
2025-11-20T12:56:26.122428,0.1,1.0,False,img_38,img_38,Defective,Nominal|Defective,2,0.348,0.652,Nominal: nominal_10,Defective: defective_26
2025-11-20T12:56:26.122428,0.1,1.0,False,img_39,img_39,Defective,Nominal|Defective,2,0.444,0.556,Nominal: nominal_49,Defective: defective_32
2025-11-20T12:56:26.122428,0.1,1.0,False,img_40,img_40,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_32,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_41,img_41,Defective,Nominal|Defective,2,0.348,0.652,Nominal: nominal_42,Defective: defective_47
2025-11-20T12:56:26.122428,0.1,1.0,False,img_42,img_42,Nominal,Nominal,1,0.656,0.344,Nominal: nominal_4,Defective: defective_8
2025-11-20T12:56:26.122428,0.1,1.0,False,img_43,img_43,Defective,Nominal|Defective,2,0.348,0.652,Nominal: nominal_15,Defective: defective_11
2025-11-20T12:56:26.122428,0.1,1.0,False,img_44,img_44,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_21,Defective: defective_8
2025-11-20T12:56:26.122428,0.1,1.0,False,img_45,img_45,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_25,Defective: defective_40
2025-11-20T12:56:26.122428,0.1,1.0,False,img_46,img_46,Nominal,Nominal|Defective,2,0.533,0.467,Nominal: nominal_21,Defective: defective_8
2025-11-20T12:56:26.122428,0.1,1.0,False,img_47,img_47,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_5,Defective: defective_44
2025-11-20T12:56:26.122428,0.1,1.0,False,img_48,img_48,Nominal,Nominal,1,0.826,0.174,Nominal: nominal_29,Defective: defective_37
