datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-20T13:19:18.293890,0.1,1.0,True,img_0,img_0,Nominal,Nominal|Defective,2,0.504,0.496,Nominal: nominal_32,Defective: defective_2
2025-11-20T13:19:18.293890,0.1,1.0,True,img_1,img_1,Nominal,Nominal,1,0.507,0.493,Nominal: nominal_6,Defective: defective_32
2025-11-20T13:19:18.293890,0.1,1.0,True,img_2,img_2,Defective,Defective,1,0.492,0.508,Nominal: nominal_3,Defective: defective_3
2025-11-20T13:19:18.293890,0.1,1.0,True,img_3,img_3,Nominal,Nominal|Defective,2,0.502,0.498,Nominal: nominal_27,Defective: defective_26
2025-11-20T13:19:18.293890,0.1,1.0,True,img_4,img_4,Nominal,Nominal,1,0.506,0.494,Nominal: nominal_10,Defective: defective_29
2025-11-20T13:19:18.293890,0.1,1.0,True,img_5,img_5,Defective,Nominal|Defective,2,0.497,0.503,Nominal: nominal_15,Defective: defective_11
2025-11-20T13:19:18.293890,0.1,1.0,True,img_6,img_6,Defective,Nominal|Defective,2,0.497,0.503,Nominal: nominal_36,Defective: defective_35
2025-11-20T13:19:18.293890,0.1,1.0,True,img_7,img_7,Nominal,Nominal|Defective,2,0.502,0.498,Nominal: nominal_27,Defective: defective_26
2025-11-20T13:19:18.293890,0.1,1.0,True,img_8,img_8,Nominal,Nominal,1,0.505,0.495,Nominal: nominal_48,Defective: defective_25
2025-11-20T13:19:18.293890,0.1,1.0,True,img_9,img_9,Nominal,Nominal,1,0.507,0.493,Nominal: nominal_38,Defective: defective_25
2025-11-20T13:19:18.293890,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,0.525,0.475,Nominal: nominal_14,Defective: defective_8
2025-11-20T13:19:18.293890,0.1,1.0,True,img_11,img_11,Nominal,Nominal|Defective,2,0.502,0.498,Nominal: nominal_49,Defective: defective_48
2025-11-20T13:19:18.293890,0.1,1.0,True,img_12,img_12,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_27,Defective: defective_43
2025-11-20T13:19:18.293890,0.1,1.0,True,img_13,img_13,Nominal,Nominal|Defective,2,0.503,0.497,Nominal: nominal_46,Defective: defective_26
2025-11-20T13:19:18.293890,0.1,1.0,True,img_14,img_14,Nominal,Nominal|Defective,2,0.504,0.496,Nominal: nominal_34,Defective: defective_29
2025-11-20T13:19:18.293890,0.1,1.0,True,img_15,img_15,Nominal,Nominal,1,0.507,0.493,Nominal: nominal_5,Defective: defective_48
2025-11-20T13:19:18.293890,0.1,1.0,True,img_16,img_16,Nominal,Nominal|Defective,2,0.502,0.498,Nominal: nominal_2,Defective: defective_11
2025-11-20T13:19:18.293890,0.1,1.0,True,img_17,img_17,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_47,Defective: defective_26
2025-11-20T13:19:18.293890,0.1,1.0,True,img_18,img_18,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_34,Defective: defective_9
2025-11-20T13:19:18.293890,0.1,1.0,True,img_19,img_19,Nominal,Nominal,1,0.506,0.494,Nominal: nominal_34,Defective: defective_17
