datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-22T07:37:16.942960,0.1,1.0,True,img_0,img_0,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_35,Defective: defective_19
2025-11-22T07:37:16.943887,0.1,1.0,True,img_1,img_1,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_17,Defective: defective_3
2025-11-22T07:37:16.943887,0.1,1.0,True,img_2,img_2,Defective,Defective,1,0.5,0.5,Nominal: nominal_24,Defective: defective_16
2025-11-22T07:37:16.943887,0.1,1.0,True,img_3,img_3,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_19,Defective: defective_16
2025-11-22T07:37:16.943887,0.1,1.0,True,img_4,img_4,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_2,Defective: defective_6
2025-11-22T07:37:16.943887,0.1,1.0,True,img_5,img_5,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_35,Defective: defective_19
2025-11-22T07:37:16.943887,0.1,1.0,True,img_6,img_6,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_11,Defective: defective_6
2025-11-22T07:37:16.943887,0.1,1.0,True,img_7,img_7,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_17,Defective: defective_3
2025-11-22T07:37:16.943887,0.1,1.0,True,img_8,img_8,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_29,Defective: defective_6
2025-11-22T07:37:16.943887,0.1,1.0,True,img_9,img_9,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_35,Defective: defective_19
2025-11-22T07:37:16.943887,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_30,Defective: defective_11
2025-11-22T07:37:16.943887,0.1,1.0,True,img_11,img_11,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_26,Defective: defective_11
2025-11-22T07:37:16.943887,0.1,1.0,True,img_12,img_12,Defective,Defective,1,0.5,0.5,Nominal: nominal_3,Defective: defective_19
2025-11-22T07:37:16.943887,0.1,1.0,True,img_13,img_13,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_19,Defective: defective_16
2025-11-22T07:37:16.943887,0.1,1.0,True,img_14,img_14,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_29,Defective: defective_5
2025-11-22T07:37:16.943887,0.1,1.0,True,img_15,img_15,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_32,Defective: defective_19
2025-11-22T07:37:16.943887,0.1,1.0,True,img_16,img_16,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_5,Defective: defective_8
2025-11-22T07:37:16.944886,0.1,1.0,True,img_17,img_17,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_17,Defective: defective_19
2025-11-22T07:37:16.944886,0.1,1.0,True,img_18,img_18,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_35,Defective: defective_19
2025-11-22T07:37:16.944886,0.1,1.0,True,img_19,img_19,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_33,Defective: defective_6
2025-11-22T07:37:16.944886,0.1,1.0,True,img_20,img_20,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_13,Defective: defective_16
