datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T15:04:30.316628,0.1,1.0,False,img_0,img_0,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_11,Defective: defective_5
2025-11-18T15:04:30.316628,0.1,1.0,False,img_1,img_1,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_48,Defective: defective_49
2025-11-18T15:04:30.316628,0.1,1.0,False,img_2,img_2,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_3,Defective: defective_3
2025-11-18T15:04:30.316628,0.1,1.0,False,img_3,img_3,Defective,Nominal|Defective,2,0.4,0.6,Nominal: nominal_41,Defective: defective_4
2025-11-18T15:04:30.316628,0.1,1.0,False,img_4,img_4,Defective,Nominal|Defective,2,0.3,0.7,Nominal: nominal_48,Defective: defective_49
2025-11-18T15:04:30.316628,0.1,1.0,False,img_5,img_5,Defective,Nominal|Defective,2,0.4,0.6,Nominal: nominal_40,Defective: defective_36
2025-11-18T15:04:30.316628,0.1,1.0,False,img_6,img_6,Defective,Nominal|Defective,2,0.4,0.6,Nominal: nominal_15,Defective: defective_17
2025-11-18T15:04:30.316628,0.1,1.0,False,img_7,img_7,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_49,Defective: defective_42
2025-11-18T15:04:30.316628,0.1,1.0,False,img_8,img_8,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_45,Defective: defective_6
2025-11-18T15:04:30.316628,0.1,1.0,False,img_9,img_9,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_14,Defective: defective_17
2025-11-18T15:04:30.316628,0.1,1.0,False,img_10,img_10,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_19,Defective: defective_46
2025-11-18T15:04:30.316628,0.1,1.0,False,img_11,img_11,Defective,Nominal|Defective,2,0.4,0.6,Nominal: nominal_48,Defective: defective_7
2025-11-18T15:04:30.316628,0.1,1.0,False,img_12,img_12,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_43,Defective: defective_21
2025-11-18T15:04:30.316628,0.1,1.0,False,img_13,img_13,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_48,Defective: defective_44
2025-11-18T15:04:30.316628,0.1,1.0,False,img_14,img_14,Nominal,Nominal|Defective,2,0.75,0.25,Nominal: nominal_34,Defective: defective_3
2025-11-18T15:04:30.316628,0.1,1.0,False,img_15,img_15,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_33,Defective: defective_48
