datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T20:12:28.693864,0.1,1.0,True,img_0,img_0,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_6,Defective: defective_43
2025-11-18T20:12:28.693864,0.1,1.0,True,img_1,img_1,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_48,Defective: defective_1
2025-11-18T20:12:28.693864,0.1,1.0,True,img_2,img_2,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_4,Defective: defective_13
2025-11-18T20:12:28.693864,0.1,1.0,True,img_3,img_3,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_15
2025-11-18T20:12:28.693864,0.1,1.0,True,img_4,img_4,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_10
2025-11-18T20:12:28.693864,0.1,1.0,True,img_5,img_5,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_19,Defective: defective_29
2025-11-18T20:12:28.693864,0.1,1.0,True,img_6,img_6,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_14,Defective: defective_6
2025-11-18T20:12:28.693864,0.1,1.0,True,img_7,img_7,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_15,Defective: defective_36
2025-11-18T20:12:28.693864,0.1,1.0,True,img_8,img_8,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_45,Defective: defective_29
2025-11-18T20:12:28.693864,0.1,1.0,True,img_9,img_9,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_28,Defective: defective_42
2025-11-18T20:12:28.693864,0.1,1.0,True,img_10,img_10,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_19,Defective: defective_15
2025-11-18T20:12:28.693864,0.1,1.0,True,img_11,img_11,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_19,Defective: defective_29
2025-11-18T20:12:28.693864,0.1,1.0,True,img_12,img_12,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_21,Defective: defective_13
2025-11-18T20:12:28.693864,0.1,1.0,True,img_13,img_13,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_20
2025-11-18T20:12:28.693864,0.1,1.0,True,img_14,img_14,Nominal,Nominal,1,0.503,0.497,Nominal: nominal_12,Defective: defective_13
2025-11-18T20:12:28.693864,0.1,1.0,True,img_15,img_15,Defective,Defective,1,0.499,0.501,Nominal: nominal_0,Defective: defective_22
2025-11-18T20:12:28.693864,0.1,1.0,True,img_16,img_16,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_27
2025-11-18T20:12:28.693864,0.1,1.0,True,img_17,img_17,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_27,Defective: defective_28
2025-11-18T20:12:28.693864,0.1,1.0,True,img_18,img_18,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_28,Defective: defective_42
2025-11-18T20:12:28.693864,0.1,1.0,True,img_19,img_19,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_42,Defective: defective_9
2025-11-18T20:12:28.693864,0.1,1.0,True,img_20,img_20,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_28,Defective: defective_26
2025-11-18T20:12:28.693864,0.1,1.0,True,img_21,img_21,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_28,Defective: defective_42
2025-11-18T20:12:28.693864,0.1,1.0,True,img_22,img_22,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_40,Defective: defective_34
2025-11-18T20:12:28.693864,0.1,1.0,True,img_23,img_23,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_5,Defective: defective_41
2025-11-18T20:12:28.693864,0.1,1.0,True,img_24,img_24,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_36,Defective: defective_41
2025-11-18T20:12:28.693864,0.1,1.0,True,img_25,img_25,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_39,Defective: defective_0
2025-11-18T20:12:28.693864,0.1,1.0,True,img_26,img_26,Nominal,Nominal,1,0.503,0.497,Nominal: nominal_32,Defective: defective_49
2025-11-18T20:12:28.693864,0.1,1.0,True,img_27,img_27,Defective,Defective,1,0.499,0.501,Nominal: nominal_24,Defective: defective_35
2025-11-18T20:12:28.693864,0.1,1.0,True,img_28,img_28,Defective,Defective,1,0.499,0.501,Nominal: nominal_14,Defective: defective_46
2025-11-18T20:12:28.693864,0.1,1.0,True,img_29,img_29,Defective,Defective,1,0.499,0.501,Nominal: nominal_19,Defective: defective_18
2025-11-18T20:12:28.693864,0.1,1.0,True,img_30,img_30,Defective,Defective,1,0.499,0.501,Nominal: nominal_30,Defective: defective_38
2025-11-18T20:12:28.693864,0.1,1.0,True,img_31,img_31,Defective,Defective,1,0.499,0.501,Nominal: nominal_15,Defective: defective_38
2025-11-18T20:12:28.693864,0.1,1.0,True,img_32,img_32,Defective,Defective,1,0.499,0.501,Nominal: nominal_25,Defective: defective_38
2025-11-18T20:12:28.693864,0.1,1.0,True,img_33,img_33,Defective,Defective,1,0.498,0.502,Nominal: nominal_17,Defective: defective_39
2025-11-18T20:12:28.693864,0.1,1.0,True,img_34,img_34,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_5,Defective: defective_41
2025-11-18T20:12:28.693864,0.1,1.0,True,img_35,img_35,Defective,Defective,1,0.499,0.501,Nominal: nominal_45,Defective: defective_36
2025-11-18T20:12:28.693864,0.1,1.0,True,img_36,img_36,Defective,Defective,1,0.499,0.501,Nominal: nominal_19,Defective: defective_49
2025-11-18T20:12:28.693864,0.1,1.0,True,img_37,img_37,Defective,Defective,1,0.499,0.501,Nominal: nominal_17,Defective: defective_25
2025-11-18T20:12:28.693864,0.1,1.0,True,img_38,img_38,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_30,Defective: defective_11
2025-11-18T20:12:28.693864,0.1,1.0,True,img_39,img_39,Defective,Defective,1,0.499,0.501,Nominal: nominal_24,Defective: defective_21
2025-11-18T20:12:28.693864,0.1,1.0,True,img_40,img_40,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_18,Defective: defective_9
2025-11-18T20:12:28.693864,0.1,1.0,True,img_41,img_41,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_30,Defective: defective_48
2025-11-18T20:12:28.693864,0.1,1.0,True,img_42,img_42,Defective,Defective,1,0.499,0.501,Nominal: nominal_17,Defective: defective_39
2025-11-18T20:12:28.693864,0.1,1.0,True,img_43,img_43,Nominal,Nominal,1,0.505,0.495,Nominal: nominal_23,Defective: defective_1
2025-11-18T20:12:28.693864,0.1,1.0,True,img_44,img_44,Defective,Defective,1,0.499,0.501,Nominal: nominal_29,Defective: defective_12
2025-11-18T20:12:28.693864,0.1,1.0,True,img_45,img_45,Defective,Defective,1,0.499,0.501,Nominal: nominal_17,Defective: defective_49
2025-11-18T20:12:28.693864,0.1,1.0,True,img_46,img_46,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_12,Defective: defective_34
2025-11-18T20:12:28.693864,0.1,1.0,True,img_47,img_47,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_6,Defective: defective_22
2025-11-18T20:12:28.693864,0.1,1.0,True,img_48,img_48,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_21
2025-11-18T20:12:28.693864,0.1,1.0,True,img_49,img_49,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_17,Defective: defective_25
2025-11-18T20:12:28.693864,0.1,1.0,True,img_50,img_50,Defective,Defective,1,0.498,0.502,Nominal: nominal_30,Defective: defective_49
2025-11-18T20:12:28.693864,0.1,1.0,True,img_51,img_51,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_28,Defective: defective_20
2025-11-18T20:12:28.693864,0.1,1.0,True,img_52,img_52,Defective,Defective,1,0.497,0.503,Nominal: nominal_49,Defective: defective_3
2025-11-18T20:12:28.693864,0.1,1.0,True,img_53,img_53,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_18,Defective: defective_0
