datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T19:49:33.804704,0.1,1.0,False,img_0,img_0,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_26,Defective: defective_31
2025-11-18T19:49:33.804704,0.1,1.0,False,img_1,img_1,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_5,Defective: defective_44
2025-11-18T19:49:33.804704,0.1,1.0,False,img_2,img_2,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_43,Defective: defective_3
2025-11-18T19:49:33.804704,0.1,1.0,False,img_3,img_3,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_46,Defective: defective_21
2025-11-18T19:49:33.804704,0.1,1.0,False,img_4,img_4,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_14,Defective: defective_25
2025-11-18T19:49:33.804704,0.1,1.0,False,img_5,img_5,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_48,Defective: defective_6
2025-11-18T19:49:33.804704,0.1,1.0,False,img_6,img_6,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_49,Defective: defective_19
2025-11-18T19:49:33.804704,0.1,1.0,False,img_7,img_7,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_49,Defective: defective_16
2025-11-18T19:49:33.804704,0.1,1.0,False,img_8,img_8,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_10,Defective: defective_16
2025-11-18T19:49:33.804704,0.1,1.0,False,img_9,img_9,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_38,Defective: defective_26
2025-11-18T19:49:33.804704,0.1,1.0,False,img_10,img_10,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_30,Defective: defective_21
2025-11-18T19:49:33.804704,0.1,1.0,False,img_11,img_11,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_10,Defective: defective_49
2025-11-18T19:49:33.804704,0.1,1.0,False,img_12,img_12,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_12,Defective: defective_32
2025-11-18T19:49:33.804704,0.1,1.0,False,img_13,img_13,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_49,Defective: defective_16
2025-11-18T19:49:33.804704,0.1,1.0,False,img_14,img_14,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_44,Defective: defective_3
2025-11-18T19:49:33.804704,0.1,1.0,False,img_15,img_15,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_1,Defective: defective_49
2025-11-18T19:49:33.804704,0.1,1.0,False,img_16,img_16,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_16,Defective: defective_38
2025-11-18T19:49:33.804704,0.1,1.0,False,img_17,img_17,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_16,Defective: defective_16
2025-11-18T19:49:33.804704,0.1,1.0,False,img_18,img_18,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_16,Defective: defective_20
2025-11-18T19:49:33.804704,0.1,1.0,False,img_19,img_19,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_18,Defective: defective_30
2025-11-18T19:49:33.804704,0.1,1.0,False,img_20,img_20,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_29,Defective: defective_22
2025-11-18T19:49:33.804704,0.1,1.0,False,img_21,img_21,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_27,Defective: defective_38
2025-11-18T19:49:33.804704,0.1,1.0,False,img_22,img_22,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_10,Defective: defective_16
2025-11-18T19:49:33.804704,0.1,1.0,False,img_23,img_23,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_48,Defective: defective_44
