datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T20:21:50.356132,0.1,1.0,False,img_0,img_0,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_37,Defective: defective_31
2025-11-18T20:21:50.356132,0.1,1.0,False,img_1,img_1,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_14,Defective: defective_41
2025-11-18T20:21:50.371758,0.1,1.0,False,img_2,img_2,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_43,Defective: defective_32
2025-11-18T20:21:50.371758,0.1,1.0,False,img_3,img_3,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_22,Defective: defective_44
2025-11-18T20:21:50.371758,0.1,1.0,False,img_4,img_4,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_16,Defective: defective_41
2025-11-18T20:21:50.371758,0.1,1.0,False,img_5,img_5,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_41,Defective: defective_35
2025-11-18T20:21:50.371758,0.1,1.0,False,img_6,img_6,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_32,Defective: defective_42
2025-11-18T20:21:50.371758,0.1,1.0,False,img_7,img_7,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_16
2025-11-18T20:21:50.371758,0.1,1.0,False,img_8,img_8,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_41,Defective: defective_10
2025-11-18T20:21:50.371758,0.1,1.0,False,img_9,img_9,Nominal,Nominal,1,0.503,0.497,Nominal: nominal_24,Defective: defective_36
2025-11-18T20:21:50.371758,0.1,1.0,False,img_10,img_10,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_29,Defective: defective_28
2025-11-18T20:21:50.371758,0.1,1.0,False,img_11,img_11,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_40,Defective: defective_38
2025-11-18T20:21:50.371758,0.1,1.0,False,img_12,img_12,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_34,Defective: defective_13
2025-11-18T20:21:50.371758,0.1,1.0,False,img_13,img_13,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_10,Defective: defective_28
2025-11-18T20:21:50.371758,0.1,1.0,False,img_14,img_14,Nominal,Nominal,1,0.504,0.496,Nominal: nominal_44,Defective: defective_13
2025-11-18T20:21:50.371758,0.1,1.0,False,img_15,img_15,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_29,Defective: defective_16
2025-11-18T20:21:50.371758,0.1,1.0,False,img_16,img_16,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_19,Defective: defective_17
2025-11-18T20:21:50.371758,0.1,1.0,False,img_17,img_17,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_17,Defective: defective_26
2025-11-18T20:21:50.371758,0.1,1.0,False,img_18,img_18,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_24,Defective: defective_10
2025-11-18T20:21:50.371758,0.1,1.0,False,img_19,img_19,Defective,Defective,1,0.497,0.503,Nominal: nominal_37,Defective: defective_14
2025-11-18T20:21:50.371758,0.1,1.0,False,img_20,img_20,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_6,Defective: defective_27
2025-11-18T20:21:50.371758,0.1,1.0,False,img_21,img_21,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_33,Defective: defective_44
2025-11-18T20:21:50.371758,0.1,1.0,False,img_22,img_22,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_28
2025-11-18T20:21:50.371758,0.1,1.0,False,img_23,img_23,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_32,Defective: defective_41
2025-11-18T20:21:50.371758,0.1,1.0,False,img_24,img_24,Nominal,Nominal|Defective,2,0.501,0.499,Nominal: nominal_22,Defective: defective_41
2025-11-18T20:21:50.371758,0.1,1.0,False,img_25,img_25,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_35,Defective: defective_14
2025-11-18T20:21:50.371758,0.1,1.0,False,img_26,img_26,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_46,Defective: defective_22
2025-11-18T20:21:50.371758,0.1,1.0,False,img_27,img_27,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_19,Defective: defective_26
2025-11-18T20:21:50.371758,0.1,1.0,False,img_28,img_28,Defective,Defective,1,0.498,0.502,Nominal: nominal_33,Defective: defective_36
2025-11-18T20:21:50.371758,0.1,1.0,False,img_29,img_29,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_5,Defective: defective_29
2025-11-18T20:21:50.371758,0.1,1.0,False,img_30,img_30,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_38,Defective: defective_42
2025-11-18T20:21:50.371758,0.1,1.0,False,img_31,img_31,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_19,Defective: defective_16
2025-11-18T20:21:50.371758,0.1,1.0,False,img_32,img_32,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_19,Defective: defective_49
2025-11-18T20:21:50.371758,0.1,1.0,False,img_33,img_33,Defective,Defective,1,0.497,0.503,Nominal: nominal_16,Defective: defective_15
2025-11-18T20:21:50.371758,0.1,1.0,False,img_34,img_34,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_22,Defective: defective_21
2025-11-18T20:21:50.371758,0.1,1.0,False,img_35,img_35,Defective,Defective,1,0.498,0.502,Nominal: nominal_6,Defective: defective_16
2025-11-18T20:21:50.371758,0.1,1.0,False,img_36,img_36,Defective,Nominal|Defective,2,0.499,0.501,Nominal: nominal_2,Defective: defective_48
2025-11-18T20:21:50.371758,0.1,1.0,False,img_37,img_37,Defective,Defective,1,0.496,0.504,Nominal: nominal_41,Defective: defective_1
2025-11-18T20:21:50.371758,0.1,1.0,False,img_38,img_38,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_11,Defective: defective_47
2025-11-18T20:21:50.371758,0.1,1.0,False,img_39,img_39,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_41,Defective: defective_8
2025-11-18T20:21:50.371758,0.1,1.0,False,img_40,img_40,Defective,Defective,1,0.497,0.503,Nominal: nominal_34,Defective: defective_9
2025-11-18T20:21:50.371758,0.1,1.0,False,img_41,img_41,Defective,Defective,1,0.498,0.502,Nominal: nominal_11,Defective: defective_47
