datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T20:33:02.159861,0.1,1.0,False,img_0,img_0,Defective,Defective,1,0.154,0.846,Nominal: nominal_0,Defective: defective_47
2025-11-18T20:33:02.159861,0.1,1.0,False,img_1,img_1,Defective,Nominal|Defective,2,0.455,0.545,Nominal: nominal_48,Defective: defective_39
2025-11-18T20:33:02.159861,0.1,1.0,False,img_2,img_2,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_4,Defective: defective_32
2025-11-18T20:33:02.159861,0.1,1.0,False,img_3,img_3,Defective,Nominal|Defective,2,0.455,0.545,Nominal: nominal_29,Defective: defective_23
2025-11-18T20:33:02.159861,0.1,1.0,False,img_4,img_4,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_27,Defective: defective_39
2025-11-18T20:33:02.159861,0.1,1.0,False,img_5,img_5,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_30,Defective: defective_36
2025-11-18T20:33:02.159861,0.1,1.0,False,img_6,img_6,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_24,Defective: defective_34
2025-11-18T20:33:02.159861,0.1,1.0,False,img_7,img_7,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_25,Defective: defective_7
2025-11-18T20:33:02.159861,0.1,1.0,False,img_8,img_8,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_14,Defective: defective_39
2025-11-18T20:33:02.160861,0.1,1.0,False,img_9,img_9,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_10,Defective: defective_8
2025-11-18T20:33:02.160861,0.1,1.0,False,img_10,img_10,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_33,Defective: defective_4
2025-11-18T20:33:02.160861,0.1,1.0,False,img_11,img_11,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_17,Defective: defective_36
2025-11-18T20:33:02.160861,0.1,1.0,False,img_12,img_12,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_44,Defective: defective_32
2025-11-18T20:33:02.160861,0.1,1.0,False,img_13,img_13,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_48,Defective: defective_36
2025-11-18T20:33:02.160861,0.1,1.0,False,img_14,img_14,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_44,Defective: defective_3
2025-11-18T20:33:02.160861,0.1,1.0,False,img_15,img_15,Defective,Nominal|Defective,2,0.333,0.667,Nominal: nominal_15,Defective: defective_49
2025-11-18T20:33:02.160861,0.1,1.0,False,img_16,img_16,Defective,Defective,1,0.154,0.846,Nominal: nominal_27,Defective: defective_8
2025-11-18T20:33:02.161861,0.1,1.0,False,img_17,img_17,Defective,Nominal|Defective,2,0.455,0.545,Nominal: nominal_38,Defective: defective_39
2025-11-18T20:33:02.161861,0.1,1.0,False,img_18,img_18,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_28,Defective: defective_33
2025-11-18T20:33:02.161861,0.1,1.0,False,img_19,img_19,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_42,Defective: defective_0
2025-11-18T20:33:02.161861,0.1,1.0,False,img_20,img_20,Nominal,Nominal,1,0.853,0.147,Nominal: nominal_32,Defective: defective_7
2025-11-18T20:33:02.161861,0.1,1.0,False,img_21,img_21,Defective,Nominal|Defective,2,0.455,0.545,Nominal: nominal_7,Defective: defective_33
2025-11-18T20:33:02.161861,0.1,1.0,False,img_22,img_22,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_17,Defective: defective_36
2025-11-18T20:33:02.161861,0.1,1.0,False,img_23,img_23,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_27,Defective: defective_34
2025-11-18T20:33:02.161861,0.1,1.0,False,img_24,img_24,Defective,Nominal|Defective,2,0.455,0.545,Nominal: nominal_27,Defective: defective_26
2025-11-18T20:33:02.162861,0.1,1.0,False,img_25,img_25,Defective,Nominal|Defective,2,0.455,0.545,Nominal: nominal_18,Defective: defective_9
2025-11-18T20:33:02.162861,0.1,1.0,False,img_26,img_26,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_15,Defective: defective_33
2025-11-18T20:33:02.162861,0.1,1.0,False,img_27,img_27,Defective,Defective,1,0.154,0.846,Nominal: nominal_10,Defective: defective_7
2025-11-18T20:33:02.162861,0.1,1.0,False,img_28,img_28,Defective,Defective,1,0.154,0.846,Nominal: nominal_14,Defective: defective_40
2025-11-18T20:33:02.162861,0.1,1.0,False,img_29,img_29,Defective,Defective,1,0.154,0.846,Nominal: nominal_14,Defective: defective_49
2025-11-18T20:33:02.162861,0.1,1.0,False,img_30,img_30,Defective,Defective,1,0.0,1.0,Nominal: nominal_1,Defective: defective_38
2025-11-18T20:33:02.162861,0.1,1.0,False,img_31,img_31,Defective,Nominal|Defective,2,0.455,0.545,Nominal: nominal_32,Defective: defective_15
2025-11-18T20:33:02.162861,0.1,1.0,False,img_32,img_32,Defective,Defective,1,0.154,0.846,Nominal: nominal_5,Defective: defective_39
2025-11-18T20:33:02.163861,0.1,1.0,False,img_33,img_33,Defective,Defective,1,0.0,1.0,Nominal: nominal_33,Defective: defective_7
2025-11-18T20:33:02.163861,0.1,1.0,False,img_34,img_34,Defective,Defective,1,0.0,1.0,Nominal: nominal_27,Defective: defective_20
2025-11-18T20:33:02.163861,0.1,1.0,False,img_35,img_35,Nominal,Nominal,1,0.783,0.217,Nominal: nominal_15,Defective: defective_1
2025-11-18T20:33:02.163861,0.1,1.0,False,img_36,img_36,Defective,Defective,1,0.154,0.846,Nominal: nominal_29,Defective: defective_7
2025-11-18T20:33:02.163861,0.1,1.0,False,img_37,img_37,Defective,Defective,1,0.154,0.846,Nominal: nominal_46,Defective: defective_7
