datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T15:08:33.638264,0.1,1.0,False,img_0,img_0,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_0,Defective: defective_11
2025-11-18T15:08:33.638264,0.1,1.0,False,img_1,img_1,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_40,Defective: defective_26
2025-11-18T15:08:33.638264,0.1,1.0,False,img_2,img_2,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_34,Defective: defective_32
2025-11-18T15:08:33.638264,0.1,1.0,False,img_3,img_3,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_25,Defective: defective_33
2025-11-18T15:08:33.638264,0.1,1.0,False,img_4,img_4,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_10,Defective: defective_46
2025-11-18T15:08:33.638264,0.1,1.0,False,img_5,img_5,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_38,Defective: defective_45
2025-11-18T15:08:33.638264,0.1,1.0,False,img_6,img_6,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_29,Defective: defective_17
2025-11-18T15:08:33.638264,0.1,1.0,False,img_7,img_7,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_40,Defective: defective_7
2025-11-18T15:08:33.638264,0.1,1.0,False,img_8,img_8,Defective,Defective,1,0.499,0.501,Nominal: nominal_32,Defective: defective_42
2025-11-18T15:08:33.638264,0.1,1.0,False,img_9,img_9,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_22,Defective: defective_10
2025-11-18T15:08:33.638264,0.1,1.0,False,img_10,img_10,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_19,Defective: defective_17
2025-11-18T15:08:33.638264,0.1,1.0,False,img_11,img_11,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_40,Defective: defective_40
2025-11-18T15:08:33.638264,0.1,1.0,False,img_12,img_12,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_34,Defective: defective_3
2025-11-18T15:08:33.638264,0.1,1.0,False,img_13,img_13,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_40,Defective: defective_40
2025-11-18T15:08:33.638264,0.1,1.0,False,img_14,img_14,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_3,Defective: defective_3
2025-11-18T15:08:33.638264,0.1,1.0,False,img_15,img_15,Defective,Defective,1,0.499,0.501,Nominal: nominal_32,Defective: defective_17
2025-11-18T15:08:33.638264,0.1,1.0,False,img_16,img_16,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_49,Defective: defective_40
