datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T15:31:12.526077,0.1,1.0,True,img_0,img_0,Defective,Nominal|Defective,2,0.36,0.64,Nominal: nominal_0,Defective: defective_11
2025-11-18T15:31:12.526077,0.1,1.0,True,img_1,img_1,Defective,Nominal|Defective,2,0.36,0.64,Nominal: nominal_7,Defective: defective_35
2025-11-18T15:31:12.526077,0.1,1.0,True,img_2,img_2,Defective,Nominal|Defective,2,0.36,0.64,Nominal: nominal_43,Defective: defective_13
2025-11-18T15:31:12.526077,0.1,1.0,True,img_3,img_3,Nominal,Nominal,1,0.8,0.2,Nominal: nominal_19,Defective: defective_7
2025-11-18T15:31:12.526077,0.1,1.0,True,img_4,img_4,Nominal,Nominal|Defective,2,0.69,0.31,Nominal: nominal_28,Defective: defective_40
2025-11-18T15:31:12.526077,0.1,1.0,True,img_5,img_5,Nominal,Nominal|Defective,2,0.741,0.259,Nominal: nominal_16,Defective: defective_26
2025-11-18T15:31:12.526077,0.1,1.0,True,img_6,img_6,Nominal,Nominal|Defective,2,0.741,0.259,Nominal: nominal_24,Defective: defective_26
2025-11-18T15:31:12.526077,0.1,1.0,True,img_7,img_7,Nominal,Nominal|Defective,2,0.741,0.259,Nominal: nominal_15,Defective: defective_46
2025-11-18T15:31:12.526077,0.1,1.0,True,img_8,img_8,Nominal,Nominal,1,0.8,0.2,Nominal: nominal_45,Defective: defective_42
2025-11-18T15:31:12.526077,0.1,1.0,True,img_9,img_9,Nominal,Nominal|Defective,2,0.513,0.487,Nominal: nominal_19,Defective: defective_10
2025-11-18T15:31:12.526077,0.1,1.0,True,img_10,img_10,Defective,Nominal|Defective,2,0.36,0.64,Nominal: nominal_24,Defective: defective_40
2025-11-18T15:31:12.526077,0.1,1.0,True,img_11,img_11,Nominal,Nominal|Defective,2,0.741,0.259,Nominal: nominal_29,Defective: defective_6
