datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T20:32:32.606043,0.1,1.0,True,img_0,img_0,Defective,Defective,1,0.0,1.0,Nominal: nominal_11,Defective: defective_30
2025-11-18T20:32:32.606043,0.1,1.0,True,img_1,img_1,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_10,Defective: defective_26
2025-11-18T20:32:32.606043,0.1,1.0,True,img_2,img_2,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_43,Defective: defective_32
2025-11-18T20:32:32.606043,0.1,1.0,True,img_3,img_3,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_9,Defective: defective_35
2025-11-18T20:32:32.606043,0.1,1.0,True,img_4,img_4,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_48,Defective: defective_7
2025-11-18T20:32:32.607043,0.1,1.0,True,img_5,img_5,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_27,Defective: defective_26
2025-11-18T20:32:32.607043,0.1,1.0,True,img_6,img_6,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_40,Defective: defective_20
2025-11-18T20:32:32.607043,0.1,1.0,True,img_7,img_7,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_37
2025-11-18T20:32:32.607043,0.1,1.0,True,img_8,img_8,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_48,Defective: defective_27
2025-11-18T20:32:32.607043,0.1,1.0,True,img_9,img_9,Nominal,Nominal,1,0.75,0.25,Nominal: nominal_38,Defective: defective_8
2025-11-18T20:32:32.607043,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_38,Defective: defective_21
2025-11-18T20:32:32.607043,0.1,1.0,True,img_11,img_11,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_17,Defective: defective_35
2025-11-18T20:32:32.607043,0.1,1.0,True,img_12,img_12,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_31,Defective: defective_32
2025-11-18T20:32:32.607043,0.1,1.0,True,img_13,img_13,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_46,Defective: defective_26
2025-11-18T20:32:32.607043,0.1,1.0,True,img_14,img_14,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_20,Defective: defective_13
2025-11-18T20:32:32.607043,0.1,1.0,True,img_15,img_15,Defective,Defective,1,0.0,1.0,Nominal: nominal_1,Defective: defective_38
2025-11-18T20:32:32.607043,0.1,1.0,True,img_16,img_16,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_22,Defective: defective_20
2025-11-18T20:32:32.607043,0.1,1.0,True,img_17,img_17,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_23,Defective: defective_38
2025-11-18T20:32:32.607043,0.1,1.0,True,img_18,img_18,Nominal,Nominal|Defective,2,0.603,0.397,Nominal: nominal_24,Defective: defective_16
2025-11-18T20:32:32.607043,0.1,1.0,True,img_19,img_19,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_42,Defective: defective_0
2025-11-18T20:32:32.607043,0.1,1.0,True,img_20,img_20,Defective,Defective,1,0.0,1.0,Nominal: nominal_32,Defective: defective_12
2025-11-18T20:32:32.607043,0.1,1.0,True,img_21,img_21,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_35
2025-11-18T20:32:32.608038,0.1,1.0,True,img_22,img_22,Nominal,Nominal|Defective,2,0.608,0.392,Nominal: nominal_22,Defective: defective_22
2025-11-18T20:32:32.608038,0.1,1.0,True,img_23,img_23,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_27,Defective: defective_41
2025-11-18T20:32:32.608038,0.1,1.0,True,img_24,img_24,Nominal,Nominal,1,0.7,0.3,Nominal: nominal_22,Defective: defective_34
2025-11-18T20:32:32.608038,0.1,1.0,True,img_25,img_25,Defective,Defective,1,0.0,1.0,Nominal: nominal_18,Defective: defective_9
2025-11-18T20:32:32.608038,0.1,1.0,True,img_26,img_26,Defective,Defective,1,0.0,1.0,Nominal: nominal_25,Defective: defective_38
2025-11-18T20:32:32.608038,0.1,1.0,True,img_27,img_27,Defective,Defective,1,0.0,1.0,Nominal: nominal_23,Defective: defective_37
2025-11-18T20:32:32.608038,0.1,1.0,True,img_28,img_28,Nominal,Nominal,1,0.688,0.312,Nominal: nominal_45,Defective: defective_40
2025-11-18T20:32:32.608038,0.1,1.0,True,img_29,img_29,Defective,Defective,1,0.0,1.0,Nominal: nominal_25,Defective: defective_1
2025-11-18T20:32:32.608038,0.1,1.0,True,img_30,img_30,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_38,Defective: defective_1
2025-11-18T20:32:32.608038,0.1,1.0,True,img_31,img_31,Defective,Defective,1,0.0,1.0,Nominal: nominal_25,Defective: defective_12
2025-11-18T20:32:32.608038,0.1,1.0,True,img_32,img_32,Defective,Defective,1,0.0,1.0,Nominal: nominal_25,Defective: defective_21
2025-11-18T20:32:32.608038,0.1,1.0,True,img_33,img_33,Defective,Defective,1,0.0,1.0,Nominal: nominal_38,Defective: defective_21
2025-11-18T20:32:32.608038,0.1,1.0,True,img_34,img_34,Defective,Defective,1,0.0,1.0,Nominal: nominal_10,Defective: defective_26
2025-11-18T20:32:32.608038,0.1,1.0,True,img_35,img_35,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_6,Defective: defective_29
2025-11-18T20:32:32.608038,0.1,1.0,True,img_36,img_36,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_16,Defective: defective_39
2025-11-18T20:32:32.608038,0.1,1.0,True,img_37,img_37,Defective,Defective,1,0.286,0.714,Nominal: nominal_45,Defective: defective_4
2025-11-18T20:32:32.608038,0.1,1.0,True,img_38,img_38,Defective,Defective,1,0.0,1.0,Nominal: nominal_26,Defective: defective_30
2025-11-18T20:32:32.609038,0.1,1.0,True,img_39,img_39,Defective,Defective,1,0.0,1.0,Nominal: nominal_45,Defective: defective_38
2025-11-18T20:32:32.609038,0.1,1.0,True,img_40,img_40,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_18,Defective: defective_9
2025-11-18T20:32:32.609038,0.1,1.0,True,img_41,img_41,Defective,Defective,1,0.0,1.0,Nominal: nominal_0,Defective: defective_30
2025-11-18T20:32:32.609038,0.1,1.0,True,img_42,img_42,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_38,Defective: defective_8
2025-11-18T20:32:32.609038,0.1,1.0,True,img_43,img_43,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_17,Defective: defective_35
2025-11-18T20:32:32.609038,0.1,1.0,True,img_44,img_44,Nominal,Nominal,1,0.75,0.25,Nominal: nominal_29,Defective: defective_18
2025-11-18T20:32:32.609038,0.1,1.0,True,img_45,img_45,Defective,Defective,1,0.0,1.0,Nominal: nominal_45,Defective: defective_4
2025-11-18T20:32:32.609038,0.1,1.0,True,img_46,img_46,Defective,Defective,1,0.327,0.673,Nominal: nominal_34,Defective: defective_13
2025-11-18T20:32:32.609038,0.1,1.0,True,img_47,img_47,Defective,Defective,1,0.0,1.0,Nominal: nominal_25,Defective: defective_16
2025-11-18T20:32:32.609038,0.1,1.0,True,img_48,img_48,Defective,Defective,1,0.0,1.0,Nominal: nominal_32,Defective: defective_12
2025-11-18T20:32:32.609038,0.1,1.0,True,img_49,img_49,Nominal,Nominal,1,0.715,0.285,Nominal: nominal_10,Defective: defective_8
2025-11-18T20:32:32.609038,0.1,1.0,True,img_50,img_50,Nominal,Nominal,1,0.909,0.091,Nominal: nominal_24,Defective: defective_17
2025-11-18T20:32:32.609038,0.1,1.0,True,img_51,img_51,Defective,Defective,1,0.0,1.0,Nominal: nominal_45,Defective: defective_12
2025-11-18T20:32:32.609038,0.1,1.0,True,img_52,img_52,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_13,Defective: defective_3
2025-11-18T20:32:32.609038,0.1,1.0,True,img_53,img_53,Defective,Defective,1,0.0,1.0,Nominal: nominal_39,Defective: defective_0
