datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T20:32:36.421356,0.1,1.0,False,img_0,img_0,Defective,Defective,1,0.5,0.5,Nominal: nominal_11,Defective: defective_30
2025-11-18T20:32:36.422361,0.1,1.0,False,img_1,img_1,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_10,Defective: defective_26
2025-11-18T20:32:36.422361,0.1,1.0,False,img_2,img_2,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_43,Defective: defective_32
2025-11-18T20:32:36.422361,0.1,1.0,False,img_3,img_3,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_9,Defective: defective_35
2025-11-18T20:32:36.422361,0.1,1.0,False,img_4,img_4,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_48,Defective: defective_7
2025-11-18T20:32:36.422361,0.1,1.0,False,img_5,img_5,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_27,Defective: defective_26
2025-11-18T20:32:36.422361,0.1,1.0,False,img_6,img_6,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_40,Defective: defective_20
2025-11-18T20:32:36.422361,0.1,1.0,False,img_7,img_7,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_37
2025-11-18T20:32:36.422361,0.1,1.0,False,img_8,img_8,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_48,Defective: defective_27
2025-11-18T20:32:36.422361,0.1,1.0,False,img_9,img_9,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_38,Defective: defective_8
2025-11-18T20:32:36.422361,0.1,1.0,False,img_10,img_10,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_38,Defective: defective_21
2025-11-18T20:32:36.422361,0.1,1.0,False,img_11,img_11,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_17,Defective: defective_35
2025-11-18T20:32:36.422361,0.1,1.0,False,img_12,img_12,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_31,Defective: defective_32
2025-11-18T20:32:36.422361,0.1,1.0,False,img_13,img_13,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_46,Defective: defective_26
2025-11-18T20:32:36.422361,0.1,1.0,False,img_14,img_14,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_20,Defective: defective_13
2025-11-18T20:32:36.422361,0.1,1.0,False,img_15,img_15,Defective,Defective,1,0.5,0.5,Nominal: nominal_1,Defective: defective_38
2025-11-18T20:32:36.422361,0.1,1.0,False,img_16,img_16,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_22,Defective: defective_20
2025-11-18T20:32:36.422361,0.1,1.0,False,img_17,img_17,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_23,Defective: defective_38
2025-11-18T20:32:36.423356,0.1,1.0,False,img_18,img_18,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_24,Defective: defective_16
2025-11-18T20:32:36.423356,0.1,1.0,False,img_19,img_19,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_42,Defective: defective_0
2025-11-18T20:32:36.423356,0.1,1.0,False,img_20,img_20,Defective,Defective,1,0.5,0.5,Nominal: nominal_32,Defective: defective_12
2025-11-18T20:32:36.423356,0.1,1.0,False,img_21,img_21,Defective,Nominal|Defective,2,0.5,0.5,Nominal: nominal_17,Defective: defective_35
2025-11-18T20:32:36.423356,0.1,1.0,False,img_22,img_22,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_22,Defective: defective_22
2025-11-18T20:32:36.423356,0.1,1.0,False,img_23,img_23,Nominal,Nominal,1,0.5,0.5,Nominal: nominal_27,Defective: defective_41
2025-11-18T20:32:36.423356,0.1,1.0,False,img_24,img_24,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_22,Defective: defective_34
2025-11-18T20:32:36.423356,0.1,1.0,False,img_25,img_25,Defective,Defective,1,0.5,0.5,Nominal: nominal_18,Defective: defective_9
2025-11-18T20:32:36.423356,0.1,1.0,False,img_26,img_26,Defective,Defective,1,0.5,0.5,Nominal: nominal_25,Defective: defective_38
2025-11-18T20:32:36.423356,0.1,1.0,False,img_27,img_27,Defective,Defective,1,0.5,0.5,Nominal: nominal_23,Defective: defective_37
2025-11-18T20:32:36.423356,0.1,1.0,False,img_28,img_28,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_45,Defective: defective_40
2025-11-18T20:32:36.423356,0.1,1.0,False,img_29,img_29,Defective,Defective,1,0.499,0.501,Nominal: nominal_25,Defective: defective_1
