datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-18T19:54:42.053263,0.1,1.0,False,img_0,img_0,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_37,Defective: defective_5
2025-11-18T19:54:42.053263,0.1,1.0,False,img_1,img_1,Nominal,Nominal,1,0.667,0.333,Nominal: nominal_24,Defective: defective_1
2025-11-18T19:54:42.053263,0.1,1.0,False,img_2,img_2,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_4,Defective: defective_13
2025-11-18T19:54:42.053263,0.1,1.0,False,img_3,img_3,Defective,Nominal|Defective,2,0.429,0.571,Nominal: nominal_15,Defective: defective_33
2025-11-18T19:54:42.053263,0.1,1.0,False,img_4,img_4,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_48,Defective: defective_42
2025-11-18T19:54:42.053263,0.1,1.0,False,img_5,img_5,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_48,Defective: defective_15
2025-11-18T19:54:42.053263,0.1,1.0,False,img_6,img_6,Nominal,Nominal|Defective,2,0.575,0.425,Nominal: nominal_15,Defective: defective_40
2025-11-18T19:54:42.053263,0.1,1.0,False,img_7,img_7,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_25,Defective: defective_49
2025-11-18T19:54:42.053263,0.1,1.0,False,img_8,img_8,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_45,Defective: defective_42
2025-11-18T19:54:42.053263,0.1,1.0,False,img_9,img_9,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_40,Defective: defective_18
2025-11-18T19:54:42.053263,0.1,1.0,False,img_10,img_10,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_1,Defective: defective_49
2025-11-18T19:54:42.053263,0.1,1.0,False,img_11,img_11,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_38,Defective: defective_41
2025-11-18T19:54:42.053263,0.1,1.0,False,img_12,img_12,Nominal,Nominal|Defective,2,0.5,0.5,Nominal: nominal_4,Defective: defective_13
2025-11-18T19:54:42.053263,0.1,1.0,False,img_13,img_13,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_48,Defective: defective_21
2025-11-18T19:54:42.053263,0.1,1.0,False,img_14,img_14,Defective,Nominal|Defective,2,0.429,0.571,Nominal: nominal_34,Defective: defective_13
2025-11-18T19:54:42.053263,0.1,1.0,False,img_15,img_15,Defective,Nominal|Defective,2,0.385,0.615,Nominal: nominal_16,Defective: defective_7
2025-11-18T19:54:42.053263,0.1,1.0,False,img_16,img_16,Nominal,Nominal,1,0.889,0.111,Nominal: nominal_8,Defective: defective_34
