datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-17T18:45:01.186734,0.1,1.0,True,img_0,img_0,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_36,Defective: defective_10
2025-11-17T18:45:01.186734,0.1,1.0,True,img_1,img_1,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_34,Defective: defective_14
2025-11-17T18:45:01.186734,0.1,1.0,True,img_2,img_2,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_5,Defective: defective_1
2025-11-17T18:45:01.186734,0.1,1.0,True,img_3,img_3,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_43,Defective: defective_6
2025-11-17T18:45:01.186734,0.1,1.0,True,img_4,img_4,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_8,Defective: defective_1
2025-11-17T18:45:01.186734,0.1,1.0,True,img_5,img_5,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_20,Defective: defective_11
2025-11-17T18:45:01.186734,0.1,1.0,True,img_6,img_6,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_32,Defective: defective_11
2025-11-17T18:45:01.187733,0.1,1.0,True,img_7,img_7,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_2,Defective: defective_22
2025-11-17T18:45:01.187733,0.1,1.0,True,img_8,img_8,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_9,Defective: defective_16
2025-11-17T18:45:01.187733,0.1,1.0,True,img_9,img_9,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_23,Defective: defective_23
2025-11-17T18:45:01.187733,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_5,Defective: defective_1
2025-11-17T18:45:01.187733,0.1,1.0,True,img_11,img_11,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_32,Defective: defective_11
2025-11-17T18:45:01.187733,0.1,1.0,True,img_12,img_12,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_32,Defective: defective_17
2025-11-17T18:45:01.187733,0.1,1.0,True,img_13,img_13,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_5,Defective: defective_8
2025-11-17T18:45:01.187733,0.1,1.0,True,img_14,img_14,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_22,Defective: defective_17
2025-11-17T18:45:01.188733,0.1,1.0,True,img_15,img_15,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_7,Defective: defective_22
2025-11-17T18:45:01.188733,0.1,1.0,True,img_16,img_16,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_22,Defective: defective_10
2025-11-17T18:45:01.188733,0.1,1.0,True,img_17,img_17,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_2,Defective: defective_9
2025-11-17T18:45:01.188733,0.1,1.0,True,img_18,img_18,Nominal,Nominal,1,0.864,0.136,Nominal: nominal_40,Defective: defective_15
2025-11-17T18:45:01.188733,0.1,1.0,True,img_19,img_19,Nominal,Nominal,1,0.892,0.108,Nominal: nominal_49,Defective: defective_10
2025-11-17T18:45:01.188733,0.1,1.0,True,img_20,img_20,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_17,Defective: defective_4
2025-11-17T18:45:01.188733,0.1,1.0,True,img_21,img_21,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_38,Defective: defective_9
2025-11-17T18:45:01.188733,0.1,1.0,True,img_22,img_22,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_34,Defective: defective_11
2025-11-17T18:45:01.189733,0.1,1.0,True,img_23,img_23,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_27,Defective: defective_6
2025-11-17T18:45:01.189733,0.1,1.0,True,img_24,img_24,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_26,Defective: defective_20
2025-11-17T18:45:01.189733,0.1,1.0,True,img_25,img_25,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_19,Defective: defective_3
2025-11-17T18:45:01.189733,0.1,1.0,True,img_26,img_26,Nominal,Nominal,1,1.0,0.0,Nominal: nominal_7,Defective: defective_21
2025-11-17T18:45:01.189733,0.1,1.0,True,img_27,img_27,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_23,Defective: defective_17
2025-11-17T18:45:01.189733,0.1,1.0,True,img_28,img_28,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_38,Defective: defective_21
2025-11-17T18:45:01.189733,0.1,1.0,True,img_29,img_29,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_19,Defective: defective_3
2025-11-17T18:45:01.189733,0.1,1.0,True,img_30,img_30,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_5,Defective: defective_9
2025-11-17T18:45:01.190733,0.1,1.0,True,img_31,img_31,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_23,Defective: defective_23
2025-11-17T18:45:01.190733,0.1,1.0,True,img_32,img_32,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_34,Defective: defective_7
2025-11-17T18:45:01.190733,0.1,1.0,True,img_33,img_33,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_23,Defective: defective_17
2025-11-17T18:45:01.190733,0.1,1.0,True,img_34,img_34,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_26,Defective: defective_20
2025-11-17T18:45:01.190733,0.1,1.0,True,img_35,img_35,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_48,Defective: defective_17
2025-11-17T18:45:01.190733,0.1,1.0,True,img_36,img_36,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_2,Defective: defective_13
2025-11-17T18:45:01.190733,0.1,1.0,True,img_37,img_37,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_49,Defective: defective_16
2025-11-17T18:45:01.190733,0.1,1.0,True,img_38,img_38,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_26,Defective: defective_23
2025-11-17T18:45:01.191733,0.1,1.0,True,img_39,img_39,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_2,Defective: defective_17
2025-11-17T18:45:01.191733,0.1,1.0,True,img_40,img_40,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_8,Defective: defective_16
2025-11-17T18:45:01.191733,0.1,1.0,True,img_41,img_41,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_16,Defective: defective_4
2025-11-17T18:45:01.191733,0.1,1.0,True,img_42,img_42,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_46,Defective: defective_14
2025-11-17T18:45:01.191733,0.1,1.0,True,img_43,img_43,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_30,Defective: defective_23
2025-11-17T18:45:01.191733,0.1,1.0,True,img_44,img_44,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_30,Defective: defective_0
2025-11-17T18:45:01.191733,0.1,1.0,True,img_45,img_45,Nominal,Nominal,1,0.833,0.167,Nominal: nominal_5,Defective: defective_22
2025-11-17T18:45:01.191733,0.1,1.0,True,img_46,img_46,Nominal,Nominal,1,0.904,0.096,Nominal: nominal_7,Defective: defective_23
2025-11-17T18:45:01.192733,0.1,1.0,True,img_47,img_47,Nominal,Nominal|Defective,2,0.591,0.409,Nominal: nominal_5,Defective: defective_1
