datetime_of_operation,alpha,temperature,mondrian,image_path,image_name,point_prediction,prediction_set,set_size,Nominal_prob,Defective_prob,nominal_description,defective_description
2025-11-17T13:40:38.336096,0.1,1.0,True,img_0,img_0,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_7,Defective: defective_22
2025-11-17T13:40:38.336096,0.1,1.0,True,img_1,img_1,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_40,Defective: defective_13
2025-11-17T13:40:38.336096,0.1,1.0,True,img_2,img_2,Nominal,Nominal,1,0.503,0.497,Nominal: nominal_20,Defective: defective_22
2025-11-17T13:40:38.336096,0.1,1.0,True,img_3,img_3,Nominal,Nominal,1,0.501,0.499,Nominal: nominal_11,Defective: defective_3
2025-11-17T13:40:38.336096,0.1,1.0,True,img_4,img_4,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_8,Defective: defective_25
2025-11-17T13:40:38.336096,0.1,1.0,True,img_5,img_5,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_23,Defective: defective_13
2025-11-17T13:40:38.336096,0.1,1.0,True,img_6,img_6,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_16,Defective: defective_22
2025-11-17T13:40:38.336096,0.1,1.0,True,img_7,img_7,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_13,Defective: defective_22
2025-11-17T13:40:38.336096,0.1,1.0,True,img_8,img_8,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_5,Defective: defective_13
2025-11-17T13:40:38.336096,0.1,1.0,True,img_9,img_9,Nominal,Nominal,1,0.503,0.497,Nominal: nominal_14,Defective: defective_25
2025-11-17T13:40:38.336096,0.1,1.0,True,img_10,img_10,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_5,Defective: defective_22
2025-11-17T13:40:38.336096,0.1,1.0,True,img_11,img_11,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_7,Defective: defective_22
2025-11-17T13:40:38.336096,0.1,1.0,True,img_12,img_12,Nominal,Nominal,1,0.502,0.498,Nominal: nominal_33,Defective: defective_22
